PMID
34600737
23472835
31324590
36601900
35802673
33719694
32951711
35381735
34738565
34723657
31387422
37445515
32921123
37553006
35216538
33148905
35126715
32441173
33782091
34794291
35958406
29683035
32269677
34498477
32928286
34107707
37070255
25501778
23876203
25935657
30912181
30755503
25767338
23440314
27978519
29552318
32057552
26900912
27179394
24954426
24005884
32664112
27895356
30704933
35034480
34673343
24018351
31948240
26202391
24142565
35763062
25697969
33860712
34459038
34343193
31556001
34137321
36681296
34729630
33157980
26025158
30560363
29974358
34096375
35645580
26312402
26842716
37046808
26113804
31981040
32128353
36163680
25616129
25634150
36203676
37883756
37366542
35086961
33908337
37572590
33840246
25198809
36960818
26519981
36644041
35495896
25377903
30348912
31236782
28823518
38157768
34177272
24464053
30111976
22864473
31387123
27647824
36299679
29153532
23446614
32529962
24436591
35815563
28885477
37349797
28676535
29377971
25120012
34293064
34842905
33173567
37254629
37141269
36034199
37166852
31487777
25374804
31294320
28413891
29562836
30795912
28163887
36113076
29293304
37477709
36751645
33356810
27792437
25191821
30513003
37205327
32028410
30589718
23002096
25656251
34515987
25198813
24103730
35268283
31674857
34399039
25940453
33983979
37142538
27126759
35323859
32205954
